,Year,Month,PE,Value,m_earnings,prev_m,EPS_growth,DATE,GS10,final_EPS_growth
154,2014,6,14.09847019,158.5909524,11.24880574,11.25520324,-0.006799566,30/06/2014,0.0254,-0.032199566
155,2014,7,13.98615805,162.0227273,11.58450568,11.24880574,0.423157871,31/07/2014,0.0242,0.398957871
156,2014,8,13.08504552,158.7390476,12.13133323,11.58450568,0.739291236,31/08/2014,0.0253,0.713991236
157,2014,9,13.191593,160.0066667,12.12944234,12.13133323,-0.00186882,30/09/2014,0.023,-0.02486882
158,2014,10,12.77414739,157.71,12.34602946,12.12944234,0.236624068,31/10/2014,0.0233,0.213324068
159,2014,11,12.85160405,161.7931579,12.58933571,12.34602946,0.26388067,30/11/2014,0.0221,0.24178067
160,2014,12,12.21555227,153.4481818,12.56170645,12.58933571,-0.026020296,31/12/2014,0.0188,-0.044820296
161,2015,1,15.36018385,152.2165,9.909809771,12.56170645,-0.94189679,31/01/2015,0.0198,-0.96169679
162,2015,2,26.83132547,157.9868421,5.888148994,9.909809771,-0.998063749,28/02/2015,0.0204,-1.018463749
163,2015,3,26.43473091,154.8727273,5.858683707,5.888148994,-0.058424526,31/03/2015,0.0194,-0.077824526
164,2015,4,26.0098489,155.9971429,5.997618188,5.858683707,0.324784231,30/04/2015,0.022,0.302784231
165,2015,5,26.31546475,157.5975,5.988778899,5.997618188,-0.017542944,31/05/2015,0.0236,-0.041142944
166,2015,6,25.90411936,154.9281818,5.980831838,5.988778899,-0.015808195,30/06/2015,0.0232,-0.039008195
167,2015,7,25.79921273,152.4240909,5.908090782,5.980831838,-0.136570623,31/07/2015,0.0217,-0.158270623
168,2015,8,25.45334857,149.2380952,5.86320086,5.908090782,-0.087461179,31/08/2015,0.0217,-0.109161179
169,2015,9,24.133454,143.5457143,5.947997095,5.86320086,0.188041754,30/09/2015,0.0207,0.167341754
170,2015,10,24.70736332,145.6454545,5.894819802,5.947997095,-0.102163138,31/10/2015,0.0226,-0.124763138
171,2015,11,23.4966814,146.654,6.241477147,5.894819802,0.985190608,30/11/2015,0.0224,0.962790608
172,2015,12,23.16123759,148.7436364,6.422093629,6.241477147,0.408221525,31/12/2015,0.0209,0.387321525
173,2016,1,20.04087332,149.1189474,7.440740981,6.422093629,4.851600173,31/01/2016,0.0178,4.833800173
174,2016,2,14.33057655,160.708,11.21434294,7.440740981,136.3699553,29/02/2016,0.0189,136.3510553
175,2016,3,14.71409023,169.1659091,11.49686501,11.21434294,0.347929536,31/03/2016,0.0181,0.329829536
176,2016,4,14.589097,168.1233333,11.52390263,11.49686501,0.028588766,30/04/2016,0.0181,0.010488766
177,2016,5,14.54748362,166.1619048,11.42203759,11.52390263,-0.101065477,31/05/2016,0.0164,-0.117465477
178,2016,6,15.19751095,173.1240909,11.39160823,11.42203759,-0.031504811,30/06/2016,0.015,-0.046504811
179,2016,7,16.26126475,182.1865,11.20371034,11.39160823,-0.180928198,31/07/2016,0.0156,-0.196528198
180,2016,8,16.24037452,176.3430435,10.85831138,11.20371034,-0.313239932,31/08/2016,0.0163,-0.329539932
181,2016,9,15.79201676,171.4528571,10.85693232,10.85831138,-0.001522998,30/09/2016,0.0176,-0.019122998
182,2016,10,15.25552214,162.8466667,10.67460459,10.85693232,-0.183913872,31/10/2016,0.0214,-0.205313872
183,2016,11,14.80149224,158.6361905,10.7175809,10.67460459,0.049396673,30/11/2016,0.0249,0.024496673
184,2016,12,16.06197995,172.1957143,10.72070285,10.7175809,0.003501119,31/12/2016,0.0243,-0.020798881
